name,airport,Type,Latitude,Longitude,InitialHeading,InitialAltitude
N205,ZBAA,STAND,40.0975646,116.5995956,83,36
N206,ZBAA,STAND,40.09839287,116.5994728,83,36
N207,ZBAA,STAND,40.09922114,116.5993544,83,36
N208,ZBAA,STAND,40.10003121,116.5992225,83,36
N209,ZBAA,STAND,40.10083673,116.599095,83,36
N210,ZBAA,STAND,40.10168776,116.5989585,83,36
N211,ZBAA,STAND,40.10250693,116.5988402,83,36
N212,ZBAA,STAND,40.10304849,116.5984033,83,36
N213,ZBAA,STAND,40.103592,116.598327,83,36
N214,ZBAA,STAND,40.10402935,116.597049,353,36
N215,ZBAA,STAND,40.10396935,116.596401,353,36
N216,ZBAA,STAND,40.10390935,116.595752,353,36
N217,ZBAA,STAND,40.10229768,116.596668,173,36
N218,ZBAA,STAND,40.10225547,116.5960161,173,36
W101,ZBAA,STAND,40.09051708,116.5815725,173,36
W103,ZBAA,STAND,40.09041074,116.5795599,173,36
W104,ZBAA,STAND,40.09035467,116.5787562,173,36
W105,ZBAA,STAND,40.09027056,116.5779525,173,36
W106,ZBAA,STAND,40.09020514,116.5771301,173,36
W107,ZBAA,STAND,40.09011169,116.5763264,173,36
W108,ZBAA,STAND,40.09166098,116.5754558,353,36
W108A,ZBAA,STAND,40.09159002,116.5746436,353,36
W109,ZBAA,STAND,40.09173589,116.5762601,353,36
W110,ZBAA,STAND,40.09181869,116.5770644,353,36
W111,ZBAA,STAND,40.09188177,116.5778884,353,36
W112,ZBAA,STAND,40.09196062,116.5786887,353,36
W113,ZBAA,STAND,40.09203553,116.5794891,353,36
W201,ZBAA,STAND,40.07998647,116.5776461,83,36
W202,ZBAA,STAND,40.0794977,116.5777249,83,36
W203,ZBAA,STAND,40.0789853,116.5778133,83,36
W204,ZBAA,STAND,40.078465,116.577849,83,36
W205,ZBAA,STAND,40.077868,116.578008,83,36
W206,ZBAA,STAND,40.077341,116.577636,83,36
W207,ZBAA,STAND,40.0762908,116.5788254,83,36
W208,ZBAA,STAND,40.07566623,116.5789215,83,36
W209,ZBAA,STAND,40.07503622,116.5790145,83,36
W210,ZBAA,STAND,40.07441291,116.5791233,83,36
W501,ZBAA,STAND,40.09846919,116.5758257,173,36
W502,ZBAA,STAND,40.09859498,116.5754793,173,36
W503,ZBAA,STAND,40.09856354,116.5751601,173,36
W504,ZBAA,STAND,40.09857998,116.574792,173,36
W505,ZBAA,STAND,40.09925033,116.575649,173,36
W506,ZBAA,STAND,40.09920507,116.5751395,173,36
W507,ZBAA,STAND,40.09917279,116.5747472,173,36
W508,ZBAA,STAND,40.10003668,116.5755279,353,36
W509,ZBAA,STAND,40.09998072,116.5750179,353,36
W510,ZBAA,STAND,40.09995227,116.5746254,353,36
W511,ZBAA,STAND,40.09990954,116.5742543,353,36
